
Frequency	# of Samples Observed In
4e713bd9fd6e5eb9283b49179f0e55a9	78	1
bd799380d0a51131b7066ea68ee96209	78	1
209f618ec24d636527e31bcb542c9210	78	2
67ac2d4f5c5e177b06dc91a308977b86	77	2
ae38440ef93aa452f5937fe036fb40eb	77	1
6d5586b86014141f20431e02c906a12f	77	1
c9d99ad63e22e32ae62e5347d57ea374	77	1
48666776dc4b0eb71bcecd0c84e64375	77	1
51222e80897104a476bc23d11fa0e4eb	77	1
2fb3248930cf3e8f7200bb905d0aa439	77	1
483eeedf5c709f1ab78e3b84e76d115a	77	1
67817d5c1cdc82807a747cc2cd87f72b	76	1
cc6a177553ccc95e465d764a5747cbb5	76	1
d01477ff03f6d5a198c4858cfb2bf5b6	75	1
c5745c3c38bf20150e46a6cc2e0e3549	75	2
4f0eded60b05df5ac9b1a43c9f9ef5d6	75	1
87e8a51ef0c982ee981151e12cfa23db	75	1
8b295263f3822065c1d579f698354b0d	75	1
b654a54adbc0267529ef7bc96a35786f	75	1
d0c9d27d3448b035885e75b1633c2fd9	75	1
042b551beb3370d250e5bb96c9a0dcda	74	1
805f03b3ea5288c044c58bf81b977661	74	1
f2c78a1ab4bcb1ed714ed6bb0a6ffe28	74	1
fa67a715f65fa8e065e7cc88978684f5	73	1
cfd941b78df68e4bd7228c182d31d312	73	1
f5c13d3eccea0d0ce57af4b8c179ff3f	73	1
59f79c12b916f1c033dcbde61127eb6e	73	1
07ea15cf3b8d2766fb023a532da1eb6c	72	1
0451575135fd613c062f47ee8b6fcc92	71	1
924117c5010d54ef3636883e94319ca8	71	1
01f07110133f32066aa0dbbb2068facb	71	1
b104762cc008a33555a80eba11bdbc9d	71	1
0ea2e69dde25a276f555e122b5da5da5	70	1
d2b4ca25c42f19fd9ceeec37979b17a7	70	1
130bca1d1c15042d9d124cd7ee88c05c	70	1
7905cf87d98fc4bbaf8049d0bb3cc3e7	70	1
4576a91c199e4020e5b044842e92950d	70	1
2c2191b4e506a294a08241a31b7465d9	70	1
17349402776b8f0a2e4e3ef059d861d5	70	1
e206ad97cd832703cd7f48f785ed9364	70	1
213b48475e2e6c8bc5543a835d613c41	70	1
27e5e97debe8e48a4763e3fa67ed9f72	70	1
2da4cac1976b654755ff6ea4bc88827a	70	1
f5d996da9ddb837b223e4dc4e44c0178	69	1
5056ced78ee373b0b734f860a15e49e7	69	1
a0a53046476c1627a2c897c7ee922722	69	1
c4742a9b6ccea4eca776e883b037d994	69	1
7e52d5326ca1d4fed650521fd3f86363	69	1
082534cabb4368dd6cd60b0ce9b2a1a9	68	1
d5f170cd594b51bf4b50b9e3412326d4	68	1
2dd818c8405caa65dcc53fcc3d96bc63	67	1
2a39e367be1001237638f952dbd1a6bf	67	1
770b53360ce634f38f031ee1d8fc450c	66	1
c7356d27097d6f8477c8a162e9a897d4	66	1
42f0dc5bf19a1b55f21a0e47127a3b00	66	1
1c471736fe51d4704c5b5e696a09dabd	66	1
e161bf47a779c1d499d368813b76abd3	66	1
9de277b6855ab09e76c9187d577277a8	66	1
e62efbc0e7863ee70442b7a42ec0161c	66	1
cc3cdca2cfb55e8117077d4009e527ea	65	1
4fd0c8defa01162699d385503f39a754	65	2
8decbd6b40894b71ebd1caa07c726b93	64	1
364f92bfefe4611de2dbdef2968650de	64	1
7abb45a70b6debe73c2edab9ee07ea50	64	1
416179d8e2de4eed53e444328a43a378	64	1
18d1a69ca51939320d5ec25b79b99bee	63	1
d0b4112c305ddf9256b23b6f1f7968a3	63	1
4a93c1e6ab76a11088c92b4842b3f275	63	1
09899beb09e9765a8ed57b5e5f167437	63	1
639962455a0e420806e787822f6fd4ba	63	1
3239d8e93510c3456357a36954193c2a	63	1
431cb2d79e2e235efda0dc3b3d3d5749	63	1
83b43c2d8f55997ff2044932f911c65e	62	1
b1dfa404b765361e8d7a20a612a7ccfa	62	1
6023395f52709ab62fca25eb654e3087	62	1
f9949c6d42991d09d712f0338adce27d	62	1
0995b2708c5dd4fbcb0acafc383dd98c	61	1
a546caf443557e5001ee6c6b0372de1f	61	1
79595fb17e6c1ed38a9f8d0bf4075119	60	1
4e505041270d5a0b9bb6a567bbfc3c63	60	1
a12ffafe6eea5855bd3a31d8e9f60ed8	60	1
3ad82271875bb564f5409c8fcbc28e1d	59	1
8cf5f774ba8035d369fd575aee1c9c0a	59	1
b34f1dd95492ea979594fae4b37e275a	59	1
dc8d8c475c9e6e7128c6a2cd1c5d2ba3	59	1
315d58b7c4301213738ff0cbde93b8d4	59	1
3495e86c73ee9b2597bb616e5fc8acf0	59	1
0d7097af490173fa07cc2dd9c7ad06e6	59	1
311defc2f720cdca08ee01fb98e01ca8	59	1
427d205197dd856e9e717a736bd0b897	59	1
b6c1dd420dac14190467ed23bfc582ed	58	1
c24d662af01c3c66f99b4041e51acca7	58	1
35360347b8e9d78184f8d8289ac72b16	58	1
3fb783e93d5903e4190a3ee25bad7fa4	58	1
4db7970c5756c21c73f03d2ce057a50e	58	1
f5d7451c7955c64d58417f3f03a03988	58	2
85e47ae4af106caa32dfc4145fba5862	58	2
e7593f2931065b72ec35a97e7be774a0	58	1
0082157377a7bc3577784da195763834	57	1
e89914ac96ad18b73fe9b97e773de678	57	1
777c663b493e4ad4133f7905b50a8bf3	57	1
2f9755a48a07b452836ef7b79153173b	57	1
73ffdf1f4f124ea2b549855b3c737ac6	57	1
26b3aa43771090d4ff1cbdfc688ec1df	57	1
071f68c8392786c1a16963ea12d094b2	56	1
ff50346874df98863366c5501465608f	56	1
ab1f67e7bdce2c2794c94402158d56da	56	1
27d6770bc0db6627121ce1983871842a	56	1
a640831c1b304b23c646b925caad4f7c	56	1
